Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,Population,NZDep2018
1.359013494423543,0.6978740502332403,"2/13a Easter Parade Glen Eden, Auckland",4.500753954557906,13.579788224443204,-36.9208765,174.6304169,7007125,13.228807084956363,6.109315192969343,7.131680373741203,9.699707967816055,9.932731860869133,9.458570375093581,Glen Eden,23.80651738457355,3.0
2.208409706821916,1.1105182569051057,"5a Abbotts Way Remuera, Auckland",4.872076825904932,14.03062193758122,-36.8888684,174.8125681,7006106,11.670015496644016,8.156576552225594,8.801043902386589,11.225275442373885,4.107340966149663,7.1869599008551175,Remuera,23.503005650134032,2.0
1.8173200822130249,1.0000000826913506e-10,"4 Marua Road, Auckland",6.611510204829818,14.817978986079481,-36.889369,174.813201,7006106,11.670015496644016,8.156576552225594,8.801043902386589,11.225275442373885,4.107340966149663,7.1869599008551175,Ellerslie,23.503005650134032,2.0
1.359013494423543,1.0000000826913506e-10,"966 Kaipara Flats Road Kaipara Flats, Auckland",6.229791348214723,13.42984807715229,-36.4065732,174.5450829,7001269,11.332314925934417,3.4101475114660036,5.373484878574275,9.146635177114666,9.35912952886131,7.560610668532292,Kaipara Flats,20.189438828103544,4.0
1.359013494423543,0.6978740502332403,"37 Jaemont Avenue Te Atatu South, Auckland",5.845813483650705,13.664687668229691,-36.8646972,174.6521841,7004112,8.611187017511849,6.87461645706986,4.826545294992745,9.699707967816055,8.757285446425849,5.907409525733242,Te Atatu South,19.82442565933384,7.0
1.8173200822130249,1.1105182569051057,"10 Sussex Street Grey Lynn, Auckland",5.3889943444404285,14.637490610367188,-36.8625187,174.7474227,7005129,6.598421454308213,6.87461645706986,6.739646261811772,7.952193830461668,6.725919356444759,5.907409525733242,Grey Lynn,18.878122408336704,3.0
1.8173200822130249,0.6978740502332403,"50b Camp Road Mount Wellington, Auckland",5.20514268840084,13.652991628466498,-36.9314956,174.8467009,7008343,10.98424851139745,9.468542543754644,8.497916071989527,8.565716389246917,9.35912952886131,8.25053933612427,Mount Wellington,23.80651738457355,7.0
1.359013494423543,1.0000000826913506e-10,"68 Walters Road Mount Wellington, Auckland",5.65932530244715,13.567049198665774,-36.931371,174.8475282,7008343,10.98424851139745,9.468542543754644,8.497916071989527,8.565716389246917,9.35912952886131,8.25053933612427,Mount Wellington,23.80651738457355,7.0
2.553119807651975,1.1105182569051057,"32 Red Hills Road Massey, Auckland",7.573060962165641,14.480772535034683,-36.8395657,174.5907986,7003463,9.867464202797436,6.109315192969343,4.826545294992745,9.146635177114666,8.757285446425849,7.560610668532292,Massey,20.89859915793634,5.0
0.7914060876891122,1.0000000826913506e-10,"41 Ballarat Street Ellerslie, Auckland",5.259882747802317,13.815510557964274,-36.8950171,174.8242295,7006236,9.867464202797436,4.692195211665663,9.092126586106753,10.736360645151427,5.080961874119846,6.3654081003427345,Ellerslie,21.243463991012078,4.0
1.359013494423543,0.6978740502332403,"17a Foxlaw Street Randwick Park, Auckland",5.506626785931252,13.473020249017498,-37.0223681,174.9209532,7009955,14.61914122266585,6.109315192969343,7.500554007890759,10.736360645151427,7.448178853913591,6.789997231169667,Randwick Park,23.655301851808595,8.0
1.8173200822130249,0.6978740502332403,"30 Kuaka Drive Takanini, Auckland",4.903266084615433,13.604789526648622,-37.0414044,174.9349884,7010021,13.518652253782768,10.578537595325097,10.641467986060789,9.699707967816055,5.943190082557632,4.855268992290836,Takanini,25.820905439529124,3.0
2.208409706821916,1.1105182569051057,"144 Arran Point Parade Orewa, Auckland",5.44802738503995,13.199324418540456,-36.5930625,174.6780098,7001409,-2.192201494426363,-2.6693173584915995,-2.548248962415742,-1.9615048382464313,-1.9216783884359705,-2.5242740023769707,Orewa,5.954830081945949,7.0
1.8173200822130249,0.6978740502332403,"106 Godfrey Drive Orewa, Auckland",5.6169521040572326,13.287877815881902,-36.5908865,174.66932,7001409,-2.192201494426363,-2.6693173584915995,-2.548248962415742,-1.9615048382464313,-1.9216783884359705,-2.5242740023769707,Orewa,5.954830081945949,7.0
1.8173200822130249,0.6978740502332403,"135 Godfrey Drive Orewa, Auckland",5.559566331425849,13.8878312195439,-36.5908865,174.66932,7001409,-2.192201494426363,-2.6693173584915995,-2.548248962415742,-1.9615048382464313,-1.9216783884359705,-2.5242740023769707,Orewa,5.954830081945949,7.0
2.208409706821916,1.1105182569051057,"17 Davey Crescent Orewa, Auckland",5.6169521040572326,14.038654109278484,-36.5903256,174.6681286,7001409,-2.192201494426363,-2.6693173584915995,-2.548248962415742,-1.9615048382464313,-1.9216783884359705,-2.5242740023769707,Orewa,5.954830081945949,7.0
2.208409706821916,1.1105182569051057,"32 Cassidy Drive Orewa, Auckland",5.44802738503995,14.018451401960965,-36.5937888,174.6739169,7001409,-2.192201494426363,-2.6693173584915995,-2.548248962415742,-1.9615048382464313,-1.9216783884359705,-2.5242740023769707,Orewa,5.954830081945949,7.0
2.208409706821916,1.1105182569051057,"130 Arran Point Parade Orewa, Auckland",5.452374744128649,13.199324418540456,-36.5930625,174.6780098,7001409,-2.192201494426363,-2.6693173584915995,-2.548248962415742,-1.9615048382464313,-1.9216783884359705,-2.5242740023769707,Orewa,5.954830081945949,7.0
